there are total 216 partitions   total nodes: 47773 
they are:
24507 41.917249, 123.411667
24514 41.917266, 123.412583
2221 4.191762, 123.412627
3168 41.917528, 123.412665
8139 41.916448, 123.409493
2231 41.919951, 123.412924
37452 0.419207, 123.412384
37482 41.920956, 123.412151
37477 41.921149, 123.412184
41981 41.921376, 12.341198
37456 4.192145, 12.341191
2218 41.920056, 123.413258
8135 41.921193, 123.412297
42005 41.921138, 123.412531
37486 41.920864, 123.412709
37460 41.921432, 123.412095
37490 41.921503, 123.412035
30148 41.918641, 123.413759
39091 41.918702, 123.413703
37463 41.918754, 123.413685
37469 41.918604, 123.413831
39096 41.918586, 123.413929
30180 41.918593, 123.414012
37472 41.918618, 123.414084
39098 41.918674, 123.414157
30241 41.918725, 123.414188
37462 41.914855, 123.413083
partition 10   2:
2247 41.813644, 12.328345
2280 41.814274, 123.280967
partition 11   7:
2836 41.705732, 12.333302
2837 41.705714, 123.333398
2838 41.705686, 123.333657
2839 41.705508, 123.335509
2840 41.705019, 123.341013
2841 41.704935, 123.342177
2842 41.704763, 12.334436
partition 12   47:
2850 41.795212, 123.450433
2957 41.795407, 123.450427
2851 41.795513, 123.450426
2970 41.795516, 123.450314
2972 41.795531, 123.450313
2875 4.179553, 123.450193
2897 4.179553, 123.449986
2857 41.795529, 123.449903
30247 41.795422, 123.449901
30178 41.795418, 123.449817
30172 41.795442, 123.449818
30246 4.179543, 123.449536
30292 41.795406, 123.449538
30286 41.795402, 123.449456
2873 41.795502, 123.449434
2854 41.795504, 123.449373
2959 4.179555, 123.449365
2856 41.795732, 123.449358
2855 41.795728, 123.449203
2896 41.795547, 123.449214
2853 41.795544, 123.449081
42240 41.795635, 12.344908
2930 41.795842, 123.449078
2865 41.795838, 123.448943
2973 41.795896, 123.448954
2961 0.417959, 12.344906
2876 41.795882, 123.449061
2870 41.795884, 123.449136
2872 41.795909, 123.449133
2871 4.179592, 123.449376
2869 41.795873, 123.449381
2925 4.179588, 123.449513
2956 41.795846, 123.449517
2964 4.179586, 123.449796
2977 41.795896, 123.449793
2965 0.417959, 12.344993
2868 41.795944, 123.449927
2960 41.795958, 123.450175
2926 4.179594, 123.450175
2955 41.795942, 123.450236
2932 41.795962, 123.450233
2898 41.795966, 123.450322
2962 4.179692, 123.450227
2917 41.796925, 123.450312
2923 4.179695, 123.450338
2963 41.796931, 123.451197
2867 41.795217, 123.451255
partition 13   8:
2852 41.796302, 123.449716
2979 4.179632, 123.450035
2885 41.796906, 123.449963
2954 41.796852, 12.344915
2874 4.179627, 123.449198
2924 41.796292, 123.449535
2895 41.796443, 123.449513
2958 41.796453, 123.449699
partition 14   5:
1166 41.815093, 123.446111
1167 41.815127, 123.446004
1168 41.815175, 123.445926
1169 41.815282, 123.445817
25077 41.815074, 123.446264
partition 15   11:
2866 41.795277, 12.344991
30213 41.795327, 123.449908
30287 41.795325, 123.449826
30272 0.417953, 123.449829
30177 41.795288, 123.449552
30176 41.795313, 123.449549
9099 41.795307, 123.449467
15727 4.179522, 123.449469
15730 41.795211, 12.344982
15732 4.179521, 123.449834
2967 41.795209, 12.344991
